P homeless,P exit,P undetected,Simulation,# Consecutive,# Episodic,# Chronic,# Ever Homeless,# Undetected Chronic,Frac Undetected Chronic,Wall Time (s),Episodic as % Chronic
0.01,0.0075,0.005,1,9644,7652,17296,20000,1263,0.16505488761108206,4.628338036000002,0.4424144310823312
0.01,0.005,0.0125,1,12939,2736,15675,20000,177,0.06469298245614036,5.076389806000002,0.17454545454545456
0.01,0.0075,0.0075,1,9837,7135,16972,20000,755,0.10581639803784162,4.862119249999999,0.42039830308743814
0.01,0.0075,0.01,1,9947,7054,17001,19999,520,0.07371703997731784,5.217046728,0.41491676960178814
0.01,0.01,0.0025,1,6562,11540,18102,20000,2550,0.22097053726169844,4.916108408999996,0.637498618937134
0.01,0.0075,0.0125,1,9896,6725,16621,20000,437,0.0649814126394052,5.680721421000001,0.4046086276397329
0.01,0.01,0.005,1,7364,10933,18297,20000,1492,0.13646757523095215,5.095135087999999,0.5975296496693447
0.0125,0.0025,0.0025,1,15697,1034,16731,20000,422,0.4081237911025145,2.650562929000003,0.06180144641683103
0.01,0.01,0.0075,1,7499,10555,18054,19999,975,0.09237328280435812,5.2863617600000055,0.5846349839370777
0.01,0.01,0.01,1,7643,10434,18077,19999,718,0.06881349434540925,5.46090804,0.577197543840239
0.0125,0.0025,0.005,1,16240,551,16791,20000,115,0.20871143375680581,2.878436885999996,0.03281519861830743
0.01,0.0125,0.0025,1,5261,13129,18390,20000,2254,0.17168101150125675,5.234544153999998,0.7139206090266449
0.0125,0.0025,0.0075,1,16422,434,16856,20000,53,0.12211981566820276,3.241349370000002,0.02574750830564784
0.01,0.0125,0.005,1,5951,12803,18754,20000,1426,0.11138014527845036,5.372398856000004,0.6826810280473499
0.01,0.01,0.0125,1,7439,10312,17751,20000,613,0.05944530643910008,5.807430555000003,0.5809250183088277
0.01,0.0125,0.0075,1,6017,12715,18732,19999,937,0.07369248918600078,5.5797197209999965,0.6787849669015589
0.0125,0.0025,0.01,1,16637,347,16984,20000,30,0.08645533141210375,3.6051547180000014,0.020430993876589733
0.01,0.0125,0.01,1,5685,12790,18475,19999,832,0.06505082095387021,5.785216500000004,0.6922868741542625
0.0125,0.005,0.0025,1,12045,5242,17287,20000,1884,0.35940480732544833,3.323524683999999,0.30323364377856193
0.0125,0.0025,0.0125,1,16671,317,16988,20000,25,0.07886435331230283,3.9398467679999953,0.018660230751118438
0.0125,0.005,0.005,1,13127,4068,17195,20000,864,0.21238938053097345,3.4278104169999963,0.2365804012794417
0.01,0.0125,0.0125,1,5655,12847,18502,20000,680,0.05293064528683739,5.889740233000005,0.6943573667711599
0.0125,0.005,0.0075,1,13528,3670,17198,20000,502,0.13678474114441416,3.644530764999999,0.2133969066170485
0.0125,0.005,0.01,1,13471,3392,16863,20000,261,0.07694575471698113,4.075357997999994,0.2011504477257902
0.0125,0.0075,0.0025,1,9057,9721,18778,20000,2845,0.29266536364571544,3.731473034000004,0.5176802641388859
0.0125,0.005,0.0125,1,13657,3322,16979,20000,200,0.060204695966285374,4.416765573999996,0.19565345426703576
0.0125,0.0075,0.005,1,10067,8592,18659,20000,1445,0.16817970204841715,3.9666393870000007,0.4604748378798435
0.0125,0.0075,0.0075,1,10564,8078,18642,20000,883,0.10930923495914831,4.304593777000001,0.43332260487072205
0.0125,0.0075,0.01,1,10662,7822,18484,20000,614,0.07849654819739198,4.495695279000003,0.42317680155810433
0.0125,0.01,0.0025,1,6847,12727,19574,20000,2894,0.22739058694114875,4.327660948000009,0.6501992438949628
